gas115BestExpected,Best expected outcome,gas5,gold,,44
gas114MoreThanExpected,More than expected outcome,gas4,silver,,44
gas113Expected,Expected outcome,gas3,bronze,,44
gas112LessThanExpected,Less than expected outcome,gas2,cockateil,,44
gas111WorseExpected,Worst expected outcome,gas1,cockateil,,44
gas1HigherOrderGoal,Higher order goal,gashigh,gold,NULL,NULL
gas11LowerOrderGoal,Lower order goal,gaslow,gold,gas11,43
pollGas11,gas11 Lower Order Goal,poll,silver,gas11,44
gas215BestExpected,Best expected outcome,gas5,gold,NULL,52
gas214MoreThanExpected,More than expected outcome,gas4,silver,NULL,52
gas213Expected,Expected outcome,gas3,bronze,NULL,52
gas212LessThanExpected,Less than expected outcome,gas2,cockateil,NULL,52
gas211WorseExpected,Worst expected outcome,gas1,cockateil,NULL,52
gas21LowerOrderGoal,Lower order goal,gaslow,gold,gas21,53
gas2HigherOrderGoal,Higher order goal,gashigh,,NULL,NULL
gas31LowerOrderGoal,Lower order goal,gaslow,gold,gas31,67
gas311WorseExpected,Worst expected outcome,gas1,gold,NULL,61
gas312LessThanExpected,Less than expected outcome,gas2,gold,NULL,61
gas313Expected,Expected outcome,gas3,gold,NULL,61
gas314MoreThanExpected,More than expected outcome,gas4,gold,NULL,61
gas315BestExpected,Best expected outcome,gas5,gold,NULL,61
gas3HigherOrderGoal,Higher order goal,gashigh,silver,NULL,NULL
gas12LowerOrderGoal,Lower order goal,gaslow,bronze,gas12,43
gas121WorseExpected,Worst expected outcome,gas1,cockateil,NULL,68
gas122LessThanExpected,Less than expected outcome,gas2,cockateil,NULL,68
gas123Expected,Expected outcome,gas3,gold,NULL,68
gas124MoreThanExpected,More than expected outcome,gas4,gold,NULL,68
gas125BestExpected,Best expected outcome,gas5,gold,NULL,68
pollGas12,gas12 Lower Order Goal,poll,silver,gas12,68
pollGas21,gas21 Lower Order Goal,poll,gold,gas21,52
pollGas31,gas31 Lower Order Goal,poll,gold,gas31,61
