1,1,user,activity,Activity,Activity description
2,2,user,busy,Busy,Busy description
3,2,user,diet,Diet,Diet description
4,2,user,physical,Physical,Physical description
5,2,user,relation,Relationship,Relationship description
6,2,user,sleep,Sleep,Sleep description
7,2,user,wellScore,Wellness,Wellness description
8,2,user,maasScore,MAAS,MAAS description
9,2,user,panasnaScore,PANAS-NA,PANAS-NA description
10,2,user,panaspaScore,PANAS-PA,PANAS-PA description
11,2,user,pqmScore,PQM,PQM description
12,2,user,pairwise,Pairwise Correlations,Pairwise correlations description
13,2,group,pairwise,Pairwise Correlations,Pairwise correlations description
14,2,group,pracMinsDay,Practice Minutes Cummulative,Practice minutes cummulative description
15,2,group,pracMinsEachDay,Practice Minutes Per Day,Practice minutes per day description
16,2,group,pracMinsWeek,Practice Mins Week,Practice minutes weekly cummulative description
17,2,program,AAQScore,AAQ Score,NULL
18,2,program,FFMQAAScore,FFMQ AA Score,NULL
19,2,program,FFMQDSScore,FFMQ DS Score,NULL
20,2,program,FFMQNRScore,FFMQ NR Score,NULL
21,2,program,FFMQNUScore,FFMQ NU Score,NULL
22,2,program,FFMQOBScore,FFMQ OB Score,NULL
23,2,program,PSSSCore,PSS Score,NULL
24,2,program,SWLSScore,SWLS Score,NULL
25,2,program,VQ8Score,VQ8 Score,NULL
26,2,program,WBScore,WB Score,NULL
27,2,program,wellScore,Wellness Score,NULL
28,2,link,MLWWStudy1SuggestionBox,Suggestion Box,https://www.surveymonkey.com/s/MLWWStudy1SuggestionBox
29,2,link,googlecalendar,Survey Schedule,https://www.google.com/calendar/embed?src=jkjbpnfgod08h2ijgg86o23dvo%40group.calendar.google.com&ctz=Australia/Sydney
30,2,link,MLWWStudy1Pre,Pre Course Survey,https://www.surveymonkey.com/s/MLWWStudy1Pre
31,2,link,MLWWStudy1Daily,Daily Survey,https://www.surveymonkey.com/s/MLWWStudy1Daily
32,2,link,MLWWStudy1Weekly,Weekly Survey,https://www.surveymonkey.com/s/MLWWStudy1Weekly
33,2,link,MLWWStudy1Mid,Mid Course Survey,https://www.surveymonkey.com/s/MLWWStudy1Mid
34,2,link,MLWWStudy1Post,Post Course Survey,https://www.surveymonkey.com/s/MLWWStudy1Post
35,1,link,fitbitdashboard,fitbit Dashboard,http://www.fitbit.com/
36,1,link,forbesmeditate,Meditate for Better Decisions,http://www.forbes.com/sites/insead/2013/09/25/meditate-for-more-profitable-decisions/
37,1,tool,androidapp,Android App,https://play.google.com/store/apps/details?id=com.wStudy1
38,1,tool,iphoneapp,iPhone App,http://www.apple.com/ios/add-to-home-screen/
39,2,tool,iphoneapp,iPhone App,http://www.apple.com/ios/add-to-home-screen/
40,2,tool,androidapp,Android App,https://play.google.com/store/apps/details?id=com.wStudy1
