1,ruleDailySurveyReminder,Rule Daily Survey,program,bronze,NULL,NULL
2,ruleWeeklyAverage,Rule Weekly Average,program,cockateil,NULL,NULL
3,ruleWeeklyHighCount,Rule Weekly High Count,program,gold,NULL,NULL
4,ruleOutputLowSteps,Rule Output Low Steps,program,cockateil,NULL,NULL
5,ruleHighStepCount,Rule High Step Count,program,gold,NULL,NULL
6,ruleOutputZeroSteps,Higher order goals,program,cockateil,NULL,NULL
7,ruleAverageStepCount,Rule Average Step Count,program,gold,NULL,NULL
8,ruleOutputHighSteps,Rule Output High Steps,program,gold,NULL,NULL
9,ruleZeroStepCount,Rule Zero Step Count,program,cockateil,NULL,NULL
10,ruleNewContent,Rule New Content,program,gold,NULL,NULL
11,ruleGoal,Rule for user defined goal setting,user,gold,NULL,NULL
12,ruleLowAlert,Rule for user defined below minimum,user,cockateil,NULL,NULL
13,ruleGroupLowCount,Rule for number of users below minimum target,group,cockateil,NULL,NULL
14,ruleGroupHighCount,Rule for number of users above maximum target,group,gold,NULL,NULL
15,ruleManual,Rule for ad-hoc nudges,program,cockateil,NULL,NULL
16,ruleNewRule,Rule for testing new rule,program,gold,NULL,NULL
17,ruleAAATest,A rule test,program,gold,NULL,NULL
18,ruleBBBTest,Rule BBB description,program,silver,NULL,NULL
21,ruleCreateTestOnly,rule Create Test Only,program,gold,NULL,NULL
22,sysBatchProc,System Batch Processing Rule,system,cockateil,NULL,NULL
28,pollSleep,Poll Sleep,poll,bronze,sleep,NULL
29,pollPQM,Poll pqm,poll,silver,pqm,NULL
30,pollDiet,Poll Diet,poll,gold,diet,NULL
31,pollDailyWellness,Poll Daily Wellness,poll,gold,wellness,NULL
32,ruleDiary,Rule Diary,user,bronze,,NULL
33,ruleUserObs,Rule UserObs,user,gold,,NULL
34,ruleLogin,Rule Login,user,silver,,NULL
35,ruleLink,Rule Link,user,bronze,,NULL
36,pollMLWW,Poll MLWW Sample,poll,bronze,mlww,NULL
37,pollMLWW2,Poll MLWW Sample2,poll,bronze,mlww2,NULL
38,gas115BestExpected,Best expected outcome,gas5,gold,,44
39,gas114MoreThanExpected,More than expected outcome,gas4,gold,,44
40,gas113Expected,Expected outcome,gas3,gold,,44
41,gas112LessThanExpected,Less than expected outcome,gas2,gold,,44
42,gas111WorseExpected,Worst expected outcome,gas1,gold,,44
43,gas1HigherOrderGoal,Higher order goal,gashigh,gold,NULL,NULL
44,gas11LowerOrderGoal,Lower order goal,gaslow,gold,gas11,43
45,pollGas11,gas11 Lower Order Goal,poll,silver,gas11,44
47,gas215BestExpected,Best expected outcome,gas5,gold,NULL,52
48,gas214MoreThanExpected,More than expected outcome,gas4,gold,NULL,52
49,gas213Expected,Expected outcome,gas3,gold,NULL,52
50,gas212LessThanExpected,Less than expected outcome,gas2,gold,NULL,52
51,gas211WorseExpected,Worst expected outcome,gas1,gold,NULL,52
52,gas21LowerOrderGoal,Lower order goal,gaslow,gold,gas21,53
53,gas2HigherOrderGoal,Higher order goal,gashigh,,NULL,NULL
61,gas31LowerOrderGoal,Lower order goal,gaslow,gold,gas31,67
62,gas311WorseExpected,Worst expected outcome,gas1,gold,NULL,61
63,gas312LessThanExpected,Less than expected outcome,gas2,gold,NULL,61
64,gas313Expected,Expected outcome,gas3,gold,NULL,61
65,gas314MoreThanExpected,More than expected outcome,gas4,gold,NULL,61
66,gas315BestExpected,Best expected outcome,gas5,gold,NULL,61
67,gas3HigherOrderGoal,Higher order goal,gashigh,gold,NULL,NULL
68,gas12LowerOrderGoal,Lower order goal,gaslow,gold,gas12,43
69,gas121WorseExpected,Worst expected outcome,gas1,gold,NULL,68
70,gas122LessThanExpected,Less than expected outcome,gas2,gold,NULL,68
71,gas123Expected,Expected outcome,gas3,gold,NULL,68
72,gas124MoreThanExpected,More than expected outcome,gas4,gold,NULL,68
73,gas125BestExpected,Best expected outcome,gas5,gold,NULL,68
75,pollGas12,gas12 Lower Order Goal,poll,silver,gas12,68
76,pollGas21,gas21 Lower Order Goal,poll,gold,gas21,52
77,pollGas31,gas31 Lower Order Goal,poll,gold,gas31,61
